OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1754,05000US37199,1574,-1,887,-1
1755,05000US38001,573,-1,299,-1
1756,05000US38003,1868,-1,865,-1
1757,05000US38005,2049,-1,957,-1
1758,05000US38007,245,-1,145,-1
1759,05000US38009,1508,-1,787,-1
1760,05000US38011,812,-1,411,-1
1761,05000US38013,749,-1,410,-1
1762,05000US38015,8513,-1,3313,-1
1763,05000US38017,14122,-1,5750,-1
1764,05000US38019,968,-1,505,-1
1765,05000US38021,1038,-1,505,-1
1766,05000US38023,446,-1,261,-1
1767,05000US38025,977,-1,643,-1
1768,05000US38027,665,-1,345,-1
1769,05000US38029,1051,-1,569,-1
1770,05000US38031,735,-1,353,-1
1771,05000US38033,396,-1,224,-1
1772,05000US38035,8242,-1,3180,-1
1773,05000US38037,916,-1,546,-1
1774,05000US38039,606,-1,348,-1
1775,05000US38041,835,-1,417,-1
1776,05000US38043,755,-1,447,-1
1777,05000US38045,1398,-1,694,-1
1778,05000US38047,696,-1,349,-1
1779,05000US38049,1512,-1,747,-1
1780,05000US38051,932,-1,547,-1
1781,05000US38053,1329,-1,581,-1
1782,05000US38055,2572,-1,1373,-1
1783,05000US38057,1338,-1,688,-1
1784,05000US38059,2988,-1,1309,-1
1785,05000US38061,1582,-1,839,-1
1786,05000US38063,983,-1,555,-1
1787,05000US38065,435,-1,206,-1
1788,05000US38067,2027,-1,971,-1
1789,05000US38069,624,-1,295,-1
1790,05000US38071,1552,-1,715,-1
1791,05000US38073,1113,-1,539,-1
1792,05000US38075,711,-1,332,-1
1793,05000US38077,3511,-1,1478,-1
1794,05000US38079,2078,-1,841,-1
1795,05000US38081,1292,-1,630,-1
1796,05000US38083,535,-1,295,-1
1797,05000US38085,1289,-1,496,-1
1798,05000US38087,274,-1,164,-1
1799,05000US38089,3295,-1,1356,-1
1800,05000US38091,551,-1,304,-1
1801,05000US38093,2913,-1,1261,-1
1802,05000US38095,695,-1,391,-1
1803,05000US38097,2011,-1,903,-1
1804,05000US38099,2506,-1,1226,-1
1805,05000US38101,6827,-1,2740,-1
1806,05000US38103,1011,-1,538,-1
1807,05000US38105,2568,-1,1111,-1
1808,05000US31001,3782,-1,1541,-1
1809,05000US31003,1893,-1,896,-1
1810,05000US31005,253,-1,122,-1
1811,05000US31007,213,-1,104,-1
1812,05000US31009,203,-1,116,-1
1813,05000US31011,1384,-1,657,-1
1814,05000US31013,1115,-1,496,-1
1815,05000US31015,807,-1,476,-1
1816,05000US31017,521,-1,272,-1
1817,05000US31019,5830,-1,2310,-1
1818,05000US31021,1665,-1,816,-1
1819,05000US31023,1932,-1,897,-1
1820,05000US31025,4131,-1,1795,-1
1821,05000US31027,2253,-1,1030,-1
1822,05000US31029,661,-1,313,-1
1823,05000US31031,876,-1,436,-1
1824,05000US31033,1583,-1,755,-1
1825,05000US31035,1915,-1,837,-1
1826,05000US31037,1619,-1,686,-1
1827,05000US31039,1625,-1,728,-1
1828,05000US31041,2581,-1,1231,-1
1829,05000US31043,2249,-1,840,-1
1830,05000US31045,1074,-1,429,-1
1831,05000US31047,2880,-1,1181,-1
1832,05000US31049,568,-1,282,-1
1833,05000US31051,1904,-1,849,-1
1834,05000US31053,4280,-1,1898,-1
1835,05000US31055,48034,-1,19789,-1
1836,05000US31057,495,-1,251,-1
1837,05000US31059,1552,-1,769,-1
1838,05000US31061,1045,-1,518,-1
1839,05000US31063,866,-1,469,-1
1840,05000US31065,1232,-1,658,-1
1841,05000US31067,3673,-1,1714,-1
1842,05000US31069,446,-1,275,-1
1843,05000US31071,384,-1,200,-1
1844,05000US31073,476,-1,241,-1
1845,05000US31075,245,-1,141,-1
1846,05000US31077,820,-1,413,-1
1847,05000US31079,5416,-1,2214,-1
1848,05000US31081,1852,-1,769,-1
1849,05000US31083,894,-1,544,-1
1850,05000US31085,309,-1,145,-1
1851,05000US31087,834,-1,437,-1
1852,05000US31089,2083,-1,991,-1
1853,05000US31091,218,-1,112,-1
1854,05000US31093,1337,-1,633,-1
1855,05000US31095,1432,-1,721,-1
1856,05000US31097,1205,-1,512,-1
1857,05000US31099,1128,-1,469,-1
1858,05000US31101,1246,-1,661,-1
1859,05000US31103,285,-1,168,-1
1860,05000US31105,686,-1,323,-1
1861,05000US31107,2688,-1,1286,-1
1862,05000US31109,26056,-1,10178,-1
1863,05000US31111,4181,-1,1750,-1
1864,05000US31113,294,-1,139,-1
1865,05000US31115,237,-1,140,-1
1866,05000US31117,139,-1,68,-1
1867,05000US31119,3988,-1,1690,-1
1868,05000US31121,1461,-1,663,-1
1869,05000US31123,982,-1,448,-1
1870,05000US31125,830,-1,401,-1
1871,05000US31127,1330,-1,614,-1
1872,05000US31129,1044,-1,541,-1
1873,05000US31131,2381,-1,1055,-1
1874,05000US31133,762,-1,406,-1
1875,05000US31135,696,-1,339,-1
1876,05000US31137,1640,-1,695,-1
1877,05000US31139,1740,-1,755,-1
1878,05000US31141,3664,-1,1511,-1
1879,05000US31143,1534,-1,722,-1
1880,05000US31145,1159,-1,539,-1
1881,05000US31147,1413,-1,704,-1
1882,05000US31149,443,-1,246,-1
1883,05000US31151,2292,-1,947,-1
1884,05000US31153,14883,-1,5603,-1
1885,05000US31155,3928,-1,1672,-1
1886,05000US31157,4087,-1,1776,-1
1887,05000US31159,3045,-1,1204,-1
1888,05000US31161,1083,-1,586,-1
1889,05000US31163,837,-1,448,-1
1890,05000US31165,341,-1,210,-1
1891,05000US31167,1145,-1,495,-1
1892,05000US31169,1586,-1,791,-1
1893,05000US31171,261,-1,132,-1
1894,05000US31173,2185,-1,835,-1
1895,05000US31175,903,-1,448,-1
1896,05000US31177,2516,-1,1006,-1
1897,05000US31179,1442,-1,538,-1
1898,05000US31181,1064,-1,534,-1
1899,05000US31183,281,-1,197,-1
1900,05000US31185,2161,-1,944,-1
1901,05000US33001,5045,-1,2698,-1
1902,05000US33003,4818,-1,3325,-1
1903,05000US33005,8639,-1,3756,-1
1904,05000US33007,5556,-1,3599,-1
1905,05000US33009,11974,-1,6325,-1
1906,05000US33011,31898,-1,12767,-1
1907,05000US33013,14763,-1,6101,-1
1908,05000US33015,23563,-1,9622,-1
1909,05000US33017,9908,-1,3771,-1
1910,05000US33019,5029,-1,2498,-1
1911,05000US34001,21714,-1,9748,-1
1912,05000US34003,65991,-1,25077,-1
1913,05000US34005,39328,-1,15184,-1
1914,05000US34007,41163,-1,16533,-1
1915,05000US34009,9094,-1,7292,-1
1916,05000US34011,14420,-1,5109,-1
1917,05000US34013,59159,-1,23847,-1
1918,05000US34015,24261,-1,9065,-1
1919,05000US34017,44506,-1,18952,-1
1920,05000US34019,12475,-1,4698,-1
1921,05000US34021,26459,-1,9902,-1
1922,05000US34023,64704,-1,22936,-1
1923,05000US34025,50419,-1,20325,-1
1924,05000US34027,38942,-1,14539,-1
1925,05000US34029,44564,-1,21128,-1
1926,05000US34031,32866,-1,12005,-1
1927,05000US34033,7424,-1,3085,-1
1928,05000US34035,24456,-1,9255,-1
1929,05000US34037,14204,-1,5651,-1
1930,05000US34039,37896,-1,14307,-1
1931,05000US34041,10843,-1,4214,-1
1932,05000US35001,44193,-1,19440,-1
1933,05000US35003,287,-1,397,-1
1934,05000US35005,5133,-1,1987,-1
1935,05000US35006,2675,-1,1153,-1
1936,05000US35007,1405,-1,1039,-1
1937,05000US35009,3782,-1,1575,-1
1938,05000US35011,277,-1,180,-1
1939,05000US35013,12464,-1,4779,-1
1940,05000US35015,3525,-1,1498,-1
1941,05000US35017,2232,-1,1086,-1
1942,05000US35019,473,-1,300,-1
1943,05000US35021,251,-1,226,-1
1944,05000US35023,618,-1,312,-1
1945,05000US35025,4797,-1,1880,-1
1946,05000US35027,1477,-1,1042,-1
1947,05000US35028,1390,-1,616,-1
1948,05000US35029,1773,-1,825,-1
1949,05000US35031,9963,-1,5098,-1
1950,05000US35033,281,-1,266,-1
1951,05000US35035,4659,-1,2074,-1
1952,05000US35037,915,-1,644,-1
1953,05000US35039,5114,-1,2669,-1
1954,05000US35041,1812,-1,722,-1
1955,05000US35043,13319,-1,5276,-1
1956,05000US35045,12186,-1,5433,-1
1957,05000US35047,1857,-1,964,-1
1958,05000US35049,14951,-1,7362,-1
1959,05000US35051,812,-1,619,-1
1960,05000US35053,1209,-1,775,-1
1961,05000US35055,3026,-1,2083,-1
1962,05000US35057,1388,-1,729,-1
1963,05000US35059,655,-1,338,-1
1964,05000US35061,5208,-1,2045,-1
1965,05000US32001,1938,-1,856,-1
1966,05000US32003,129301,-1,56262,-1
1967,05000US32005,4604,-1,2339,-1
1968,05000US32007,3933,-1,1600,-1
1969,05000US32009,177,-1,171,-1
1970,05000US32011,185,-1,108,-1
1971,05000US32013,1251,-1,545,-1
1972,05000US32015,473,-1,181,-1
1973,05000US32017,389,-1,184,-1
1974,05000US32019,3293,-1,1379,-1
1975,05000US32021,589,-1,311,-1
1976,05000US32023,2433,-1,1176,-1
1977,05000US32027,1056,-1,245,-1
1978,05000US32029,334,-1,151,-1
1979,05000US32031,29109,-1,12691,-1
1980,05000US32033,1196,-1,409,-1
1981,05000US32510,4167,-1,1673,-1
1982,05000US36001,23858,-1,10129,-1
1983,05000US36003,10495,-1,5111,-1
1984,05000US36005,88730,-1,33664,-1
1985,05000US36007,18218,-1,7833,-1
1986,05000US36009,14481,-1,6961,-1
1987,05000US36011,12220,-1,5312,-1
1988,05000US36013,16975,-1,7675,-1
1989,05000US36015,9099,-1,3632,-1
1990,05000US36017,7771,-1,3870,-1
1991,05000US36019,8668,-1,3402,-1
1992,05000US36021,7506,-1,3630,-1
1993,05000US36023,7063,-1,2899,-1
1994,05000US36025,6683,-1,4168,-1
1995,05000US36027,25530,-1,9679,-1
1996,05000US36029,72586,-1,31624,-1
1997,05000US36031,5273,-1,3274,-1
1998,05000US36033,7573,-1,3677,-1
1999,05000US36035,5862,-1,2879,-1
2000,05000US36037,7652,-1,3171,-1
2001,05000US36039,4779,-1,2943,-1
